Time,CPU Usage,Memory Usage,OS
2023-05-15 11:34:05,0.0,49.1,Windows
2023-05-15 11:34:06,2.9,49.0,Windows
2023-05-15 11:34:07,0.4,49.0,Windows
2023-05-15 11:34:08,0.0,49.1,Windows
2023-05-15 11:34:09,0.8,49.0,Windows
2023-05-15 11:34:10,0.9,49.0,Windows
2023-05-15 11:34:11,0.8,49.0,Windows
2023-05-15 11:34:12,0.4,49.0,Windows
2023-05-15 11:34:13,0.5,49.0,Windows
2023-05-15 11:34:14,0.3,49.0,Windows
2023-05-15 11:34:15,0.9,49.0,Windows
2023-05-15 11:34:16,1.3,49.0,Windows
2023-05-15 11:34:17,0.3,49.0,Windows
2023-05-15 11:34:18,0.4,49.0,Windows
2023-05-15 11:34:19,0.4,49.0,Windows
2023-05-15 11:34:20,0.1,49.0,Windows
2023-05-15 11:34:21,0.8,49.0,Windows
2023-05-15 11:34:22,0.1,49.0,Windows
2023-05-15 11:34:23,0.9,49.0,Windows
2023-05-15 11:34:24,0.5,49.0,Windows
2023-05-15 11:34:25,0.5,49.0,Windows
2023-05-15 11:34:26,0.7,49.0,Windows
2023-05-15 11:34:27,0.6,49.0,Windows
2023-05-15 11:34:28,0.4,49.0,Windows
2023-05-15 11:34:29,1.2,49.0,Windows
2023-05-15 11:34:30,1.2,49.0,Windows
2023-05-15 11:34:31,0.3,49.0,Windows
2023-05-15 11:34:32,0.3,48.9,Windows
2023-05-15 11:34:33,0.9,48.8,Windows
2023-05-15 11:34:34,0.8,48.9,Windows
2023-05-15 11:34:35,0.7,48.9,Windows
2023-05-15 11:34:36,0.9,48.9,Windows
2023-05-15 11:34:37,0.5,48.9,Windows
2023-05-15 11:34:38,0.8,48.9,Windows
2023-05-15 11:34:39,0.7,48.9,Windows
2023-05-15 11:34:40,0.4,48.9,Windows
2023-05-15 11:34:41,0.3,48.9,Windows
2023-05-15 11:34:42,1.0,48.9,Windows
2023-05-15 11:34:43,0.5,48.9,Windows
2023-05-15 11:34:44,0.3,48.9,Windows
2023-05-15 11:34:45,0.3,48.9,Windows
2023-05-15 11:34:46,0.8,48.9,Windows
2023-05-15 11:34:47,0.5,48.9,Windows
2023-05-15 11:34:48,0.1,48.9,Windows
2023-05-15 11:34:49,0.5,48.9,Windows
2023-05-15 11:34:50,0.4,48.9,Windows
2023-05-15 11:34:51,0.9,48.9,Windows
2023-05-15 11:34:52,0.1,48.9,Windows
2023-05-15 11:34:53,0.5,48.9,Windows
2023-05-15 11:34:54,0.4,48.9,Windows
2023-05-15 11:34:55,1.2,48.9,Windows
2023-05-15 11:34:56,1.2,48.9,Windows
2023-05-15 11:34:57,4.3,49.1,Windows
2023-05-15 11:34:58,3.1,49.1,Windows
2023-05-15 11:34:59,1.9,49.1,Windows
2023-05-15 11:35:00,2.1,49.1,Windows
2023-05-15 11:35:01,0.8,49.1,Windows
2023-05-15 11:35:02,2.7,49.1,Windows
2023-05-15 11:35:03,2.0,49.1,Windows
2023-05-15 11:35:04,1.7,49.1,Windows
