id	companyname	id	domain	name	regdate	lastupdate
70580	HIS HANSE IT Systeme GmbH	907	HAM1-S8-B.1	1/2 Colocation Rack	2014-11-01	0000-00-00 00:00:00
70759	czichos.net GmbH	1345	BER2-E1-2.4-C.13.15-LH	1/2 Colocation Rack	2016-01-22	0000-00-00 00:00:00
70798	isLOGIC AG	1447	BER1-C2-A.5-UH	1/2 Colocation Rack	2016-09-07	0000-00-00 00:00:00
70800	pronomiX GmbH	1450	BER1-C2-A.7-UH	1/2 Colocation Rack	2016-09-21	0000-00-00 00:00:00
70810	Connextis GmbH	1471	HAM1-S8-F.1-LH	1/2 Colocation Rack	2016-10-18	0000-00-00 00:00:00
70814	Ten Dance Media GmbH	1481	BER1-C18-A.6-UH	1/2 Colocation Rack	2017-03-16	0000-00-00 00:00:00
70707	Variomedia AG	1500	BER1-C18-B.6-UH	1/2 Colocation Rack	2017-07-28	0000-00-00 00:00:00
70826	Gesellschaft Digitale Werte mbH	1513	HAM1-S8-A.13-UH	1/2 Colocation Rack	2017-05-01	0000-00-00 00:00:00
70826	Gesellschaft Digitale Werte mbH	1514	HAM1-S8-A.13-LH	1/2 Colocation Rack	2017-05-01	0000-00-00 00:00:00
70834	Kiene IT	1534	BER1-C18-A.4-LH	1/2 Colocation Rack	2017-06-13	0000-00-00 00:00:00
70759	czichos.net GmbH	1692	BER2-E1-2.4-C.13.15-UH	1/2 Colocation Rack	2017-12-15	0000-00-00 00:00:00
70826	Gesellschaft Digitale Werte mbH	1711	BER1-C18-B.6-LH	1/2 Colocation Rack	2018-04-24	0000-00-00 00:00:00
70907	mediatec.net GmbH	1734	HAM1-S8-E.5-UH	1/2 Colocation Rack	2018-06-01	0000-00-00 00:00:00
71318	Tippland GmbH	1766	HAM1-S8-B.13-UH	1/2 Colocation Rack	2018-07-18	0000-00-00 00:00:00
70970	IFEX International Fulfillment Experts GmbH	1860	HAM1-S1-A.6-LH	1/2 Colocation Rack	2021-05-01	0000-00-00 00:00:00
70978	HL komm Telekommunikations GmbH	1878	BER1-C18-B.5-LH	1/2 Colocation Rack	2019-03-11	0000-00-00 00:00:00
71005	Serrala Group GmbH	1948	HAM3-C1-B.6-UH	1/2 Colocation Rack	2019-04-01	0000-00-00 00:00:00
71005	Serrala Group GmbH	1986	BER1-C18-A.6-LH	1/2 Colocation Rack	2019-07-29	0000-00-00 00:00:00
70789	IT-Generation GmbH	1990	HAM1-S8-C.3-UH	1/2 Colocation Rack	2019-07-10	0000-00-00 00:00:00
70789	IT-Generation GmbH	1991	HAM1-S8-C.3-LH	1/2 Colocation Rack	2019-07-10	0000-00-00 00:00:00
71075	ISACO GmbH	2076	BER1-C18-A.15-LH	1/2 Colocation Rack	2019-12-19	0000-00-00 00:00:00
71082	plot24 GmbH	2080	HAM1-S1-B.6-UH	1/2 Colocation Rack	2020-02-14	0000-00-00 00:00:00
71107	GFAD IT &amp; Service GmbH	2128	BER2-E1-2.4-C.22.13-UH	1/2 Colocation Rack	2020-04-14	0000-00-00 00:00:00
71107	GFAD IT &amp; Service GmbH	2129	BER2-E1-2.4-C.22.13-LH	1/2 Colocation Rack	2020-04-14	0000-00-00 00:00:00
71002	GFAD Softwarehaus GmbH	2130	BER2-E1-2.4-C.22.12-UH	1/2 Colocation Rack	2020-04-14	0000-00-00 00:00:00
71116	za-networks GmbH	2139	BER2-E1-2.4-C.22.12-LH	1/2 Colocation Rack	2020-07-01	0000-00-00 00:00:00
71121	BWZ Berlin Elektronik Vertrieb GmbH	2143	BER1-C18-A.5-LH	1/2 Colocation Rack	2020-06-18	0000-00-00 00:00:00
70233	JEGASOFT Media e.K.	2166	BER1-C2-A.1-LH	1/2 Colocation Rack	2020-07-24	0000-00-00 00:00:00
71135	Finoa GmbH	2170	BER2-E1-2.4-C.22.11-LH	1/2 Colocation Rack	2020-08-13	0000-00-00 00:00:00
71148	Livepeer.org	2190	BER2-E1-2.4-C.26.13-UH	1/2 Colocation Rack	2020-09-21	0000-00-00 00:00:00
71152	Heilpädagogische Ambulanz Berlin gGmbH	2199	BER2-E1-2.4-C.26.12-UH	1/2 Colocation Rack	2020-11-06	0000-00-00 00:00:00
71176	Darkmatter Marketing LTD	2267	HAM1-S8-F.5-LH	1/2 Colocation Rack	2020-12-08	0000-00-00 00:00:00
71187	ASSET.GROUP Beteiligungen abg GmbH	2309	HAM3-C1-B.6-LH	1/2 Colocation Rack	2021-03-01	0000-00-00 00:00:00
71194	Mibura Inc.	2332	DUS1-S1-A.5-LH	1/2 Colocation Rack	2021-02-05	0000-00-00 00:00:00
70970	IFEX International Fulfillment Experts GmbH	2345	HAM1-S1-A.6-UH	1/2 Colocation Rack	2021-04-01	0000-00-00 00:00:00
71213	movingimage EVP GmbH	2370	BER1-C18-A.17-UH	1/2 Colocation Rack	2021-04-27	0000-00-00 00:00:00
71217	web care LBJ GmbH	2380	HAM1-S1-B.7-LH	1/2 Colocation Rack	2021-05-03	0000-00-00 00:00:00
71230	Fischerei Müritz-Plau GmbH	2404	BER2-C.26.13-LH	1/2 Colocation Rack	2021-07-20	0000-00-00 00:00:00
70880	WG SYSTEMS e.K.	2413	BER1-C18-B.15-LH	1/2 Colocation Rack	2021-07-26	0000-00-00 00:00:00
71234	PBMG eG	2416	HAM1-S1-A.7-LH	1/2 Colocation Rack	2021-07-23	0000-00-00 00:00:00
71237	NETWORK ASSISTANCE GmbH	2424	BER2-E1-2.4-C.26.12-LH	1/2 Colocation Rack	2021-07-26	0000-00-00 00:00:00
70878	Medisoft GmbH	2429	HAM1-S1-A.7-UH	1/2 Colocation Rack	2021-09-03	0000-00-00 00:00:00
71241	SYNGENIO AG	2431	DUS1-S1-A.5-UH	1/2 Colocation Rack	2021-08-14	0000-00-00 00:00:00
70943	Leinemann &amp; Partner Rechtsanwälte mbB	2448	BER1-C18-B.16-UH	1/2 Colocation Rack	2021-10-07	0000-00-00 00:00:00
71263	Steuerberater Frank Barth	2483	BER2-E1-2.4-C.26.11-LH	1/2 Colocation Rack	2021-12-07	0000-00-00 00:00:00
71264	data experts gmbh	2484	BER1-C18-B.16-LH	1/2 Colocation Rack	2021-12-08	0000-00-00 00:00:00
71150	aptaro GmbH	2490	BER1-C18-B.17-LH	1/2 Colocation Rack	2021-12-10	0000-00-00 00:00:00
71280	GMZ Informationstechnik GmbH	2492	HAM3-C1-A.6-LH	1/2 Colocation Rack	2021-12-27	0000-00-00 00:00:00
71336	TECHWARE UG	2505	BER1-C18-A.17-LH	1/2 Colocation Rack	2022-01-19	0000-00-00 00:00:00
71194	Mibura Inc.	2518	HAM1-S8-F.1-UH	1/2 Colocation Rack	2022-02-08	0000-00-00 00:00:00
71292	Blunu GmbH	2542	HAM1-S8-E.3-LH	1/2 Colocation Rack	2022-03-18	0000-00-00 00:00:00
71294	Ears and Eyes GmbH	2543	HAM1-S8-E.3-UH	1/2 Colocation Rack	2022-03-18	0000-00-00 00:00:00
71302	jung diagnostics GmbH	2560	HAM1-C251-A.7-1	1/2 Colocation Rack	2022-06-08	0000-00-00 00:00:00
71107	GFAD IT &amp; Service GmbH	2580	HAM1-S1-B7-UH	1/2 Colocation Rack	2022-08-18	0000-00-00 00:00:00
71322	Conperience GmbH	2631	HAM1-C251-A.7-1	1/2 Colocation Rack	2022-10-21	0000-00-00 00:00:00
71324	exapture GmbH	2641	BER1-C18-E1.1	1/2 Colocation Rack	2022-11-21	0000-00-00 00:00:00
71027	Alpha Strike Labs GmbH	2659	BER1-C18-E3-2	1/2 Colocation Rack	2022-11-17	0000-00-00 00:00:00
71363	CARL von CHIARI GmbH	2729	DUS1.S1.A.04.2	1/2 Colocation Rack	2023-03-31	0000-00-00 00:00:00
71224	geissler-it Timo Geißler	210	HAM1-S8-E.1	1/1 Colocation Rack	2015-05-01	0000-00-00 00:00:00
